pattern,unique_lessons,pct_of_3679,n_grades,grades,n_subjects,top_subjects,existing_surface,modality,tier
PLAN_REFLECT,62,1.7,10,2;4;5;6;7;8;9;10;11;12,12,HĐTN-HN:26; Chuyên đề:10; Công nghệ:8; HĐTN:4; KHTN:2,—,Text/tap,NEW_TEXT_SURFACE
HANDS_ON_TOOL,59,1.6,10,3;4;5;6;7;8;9;10;11;12,7,Tin học:38; Toán:6; Chuyên đề:6; Khoa học:4; Công nghệ:3,—,External software/equipment,MULTIMODAL
CODE,50,1.4,7,4;5;6;8;10;11;12,4,Tin học:24; Chuyên đề:20; Khoa học:5; Công nghệ:1,—,Text/tap,NEW_TEXT_SURFACE
MATCH,48,1.3,12,1;2;3;4;5;6;7;8;9;10;11;12,11,Tin học:19; Tiếng Việt:13; Mĩ thuật:4; Công nghệ:3; Âm nhạc:2,—,Text/tap,NEW_TEXT_SURFACE
SOURCE_REASONING,42,1.1,10,2;4;5;6;7;8;9;10;11;12,9,LS&ĐL:17; Lịch sử:8; Tiếng Việt:5; KHTN:4; Chuyên đề:3,SourceReaderScreen,Text/tap,SURFACE_EXISTS
PHYSICAL,33,0.9,11,1;2;3;4;5;6;8;9;10;11;12,8,GDTC:14; Tin học:7; Chuyên đề:5; KHTN:2; Vật lí:2,—,Movement,MULTIMODAL
DATA_CHART,23,0.6,8,4;5;6;7;8;9;10;12,7,LS&ĐL:7; Địa lí:5; Toán:4; Công nghệ:2; KHTN:2,—,Text/tap,NEW_TEXT_SURFACE
PROVE,20,0.5,7,6;7;8;9;10;11;12,4,KHTN:7; Vật lí:6; Chuyên đề:4; LS&ĐL:3,—,Text/tap,NEW_TEXT_SURFACE
TRUE_FALSE,17,0.5,4,3;9;10;11,4,GDKT&PL:12; KHTN:3; Tin học:1; TN&XH:1,QuizSelect (2-option),Text/tap,SURFACE_EXISTS
MAP_SPATIAL,15,0.4,6,3;4;5;6;7;8,2,LS&ĐL:14; TN&XH:1,MapReaderScreen,Text/tap,SURFACE_EXISTS
